,site,site_sql_id,datetime,water_temperature,session
431,SGW2,2044,2025-03-19 00:15:00,7.582,0
432,SGW2,2044,2025-03-19 00:30:00,7.582,0
433,SGW2,2044,2025-03-19 00:45:00,7.582,0
434,SGW2,2044,2025-03-19 01:00:00,7.582,0
435,SGW2,2044,2025-03-19 01:15:00,7.582,0
436,SGW2,2044,2025-03-19 01:30:00,7.582,0
437,SGW2,2044,2025-03-19 01:45:00,7.582,0
438,SGW2,2044,2025-03-19 02:00:00,7.582,0
439,SGW2,2044,2025-03-19 02:15:00,7.582,0
440,SGW2,2044,2025-03-19 02:30:00,7.582,0
441,SGW2,2044,2025-03-19 02:45:00,7.582,0
442,SGW2,2044,2025-03-19 03:00:00,7.582,0
443,SGW2,2044,2025-03-19 03:15:00,7.582,0
444,SGW2,2044,2025-03-19 03:30:00,7.582,0
445,SGW2,2044,2025-03-19 03:45:00,7.582,0
446,SGW2,2044,2025-03-19 04:00:00,7.582,0
447,SGW2,2044,2025-03-19 04:15:00,7.582,0
448,SGW2,2044,2025-03-19 04:30:00,7.582,0
449,SGW2,2044,2025-03-19 04:45:00,7.582,0
450,SGW2,2044,2025-03-19 05:00:00,7.582,0
451,SGW2,2044,2025-03-19 05:15:00,7.582,0
452,SGW2,2044,2025-03-19 05:30:00,7.582,0
453,SGW2,2044,2025-03-19 05:45:00,7.582,0
454,SGW2,2044,2025-03-19 06:00:00,7.582,0
455,SGW2,2044,2025-03-19 06:15:00,7.582,0
456,SGW2,2044,2025-03-19 06:30:00,7.582,0
457,SGW2,2044,2025-03-19 06:45:00,7.582,0
458,SGW2,2044,2025-03-19 07:00:00,7.582,0
459,SGW2,2044,2025-03-19 07:15:00,7.582,0
460,SGW2,2044,2025-03-19 07:30:00,7.582,0
461,SGW2,2044,2025-03-19 07:45:00,7.582,0
462,SGW2,2044,2025-03-19 08:00:00,7.582,0
463,SGW2,2044,2025-03-19 08:15:00,7.582,0
464,SGW2,2044,2025-03-19 08:30:00,7.582,0
465,SGW2,2044,2025-03-19 08:45:00,7.582,0
466,SGW2,2044,2025-03-19 09:00:00,7.582,0
467,SGW2,2044,2025-03-19 09:15:00,7.582,0
468,SGW2,2044,2025-03-19 09:30:00,7.582,0
469,SGW2,2044,2025-03-19 09:45:00,7.582,0
470,SGW2,2044,2025-03-19 10:00:00,7.582,0
471,SGW2,2044,2025-03-19 10:15:00,7.582,0
472,SGW2,2044,2025-03-19 10:30:00,7.582,0
473,SGW2,2044,2025-03-19 10:45:00,7.582,0
474,SGW2,2044,2025-03-19 11:00:00,7.582,0
475,SGW2,2044,2025-03-19 11:15:00,7.582,0
476,SGW2,2044,2025-03-19 11:30:00,7.582,0
477,SGW2,2044,2025-03-19 11:45:00,7.582,0
